id,home_team_id,away_team_id,home_team_score,away_team_score,date
0011700001,1610612744,1610612743,102,108,20170930
0011700002,1610612747,1610612750,99,108,20170930
0011700004,1610612748,1610612737,96,90,20171001
0011700003,1610612761,1610612746,121,113,20171001
0011700005,1610612764,15018,126,96,20171002
0011700008,1610612738,1610612766,94,82,20171002
0011700006,1610612763,1610612753,92,84,20171002
0011700009,1610612742,1610612749,106,104,20171002
0011700007,1610612762,15015,108,83,20171002
0011700010,1610612758,1610612759,106,100,20171002
0011700011,1610612747,1610612743,107,113,20171002
0011700016,1610612752,1610612751,107,115,20171003
0011700012,1610612740,1610612741,109,113,20171003
0011700013,1610612760,1610612745,97,104,20171003
0011700014,1610612757,1610612756,112,114,20171003
0011700015,1610612746,1610612761,98,84,20171004
0011700017,1610612755,1610612763,89,110,20171004
0011700018,1610612739,1610612737,93,109,20171004
0011700019,1610612765,1610612766,106,108,20171004
0011700020,1610612749,1610612754,86,104,20171004
0011700023,1610612742,1610612741,118,71,20171004
0011700021,1610612762,93,117,78,20171004
0011700022,1610612747,1610612743,104,122,20171004
0011700024,1610612744,1610612750,95,111,20171005
0011700025,1610612753,1610612742,112,89,20171005
0011700028,1610612751,1610612748,107,88,20171005
0011700026,1610612745,12329,144,82,20171005
0011700027,1610612757,1610612761,106,101,20171005
0011700029,1610612755,1610612738,102,110,20171006
0011700030,1610612764,1610612752,104,100,20171006
0011700031,1610612765,1610612737,109,87,20171006
0011700035,1610612739,1610612754,102,106,20171006
0011700032,1610612741,1610612749,114,101,20171006
0011700033,1610612760,1610612740,102,91,20171006
0011700036,1610612759,1610612758,113,93,20171006
0011700034,1610612762,1610612756,112,101,20171006
0011700037,1610612753,1610612748,93,90,20171007
0011700044,1610612750,1610612744,110,142,20171008
0011700039,1610612760,15016,86,85,20171008
0011700040,1610612764,1610612739,102,94,20171008
0011700038,1610612746,1610612757,106,134,20171008
0011700041,1610612759,1610612743,122,100,20171008
0011700042,1610612741,1610612740,95,108,20171008
0011700045,1610612751,1610612752,117,83,20171008
0011700043,1610612747,1610612758,75,69,20171008
0011700046,1610612765,1610612754,107,97,20171009
0011700048,1610612738,1610612755,113,96,20171009
0011700049,1610612752,1610612745,95,117,20171009
0011700050,1610612737,1610612763,100,88,20171009
0011700051,1610612748,1610612766,109,106,20171009
0011700052,1610612742,1610612753,99,96,20171009
0011700047,1610612756,1610612762,102,120,20171009
0011700053,1610612758,1610612757,83,97,20171009
0011700054,1610612761,1610612765,116,94,20171010
0011700055,1610612754,93,108,89,20171010
0011700059,1610612739,1610612741,94,108,20171010
0011700057,1610612759,1610612753,98,103,20171010
0011700056,1610612743,1610612760,86,96,20171010
0011700058,1610612747,1610612762,99,105,20171010
0011700060,1610612766,1610612738,100,108,20171011
0011700062,1610612751,1610612755,114,133,20171011
0011700063,1610612748,1610612764,117,115,20171011
0011700064,1610612763,1610612745,89,101,20171011
0011700061,1610612756,1610612757,104,113,20171011
0011700065,1610612737,1610612742,94,108,20171012
0011700066,1610612746,1610612758,104,87,20171012
0011700067,1610612766,1610612742,111,96,20171013
0011700069,1610612753,1610612739,106,113,20171013
0011700075,1610612752,1610612764,103,110,20171013
0011700070,1610612741,1610612761,104,125,20171013
0011700071,1610612763,1610612740,142,101,20171013
0011700072,1610612745,1610612759,97,106,20171013
0011700068,1610612755,1610612748,119,95,20171013
0011700076,1610612749,1610612765,107,103,20171013
0011700073,1610612756,15017,114,93,20171013
0011700074,1610612757,93,129,81,20171013
0011700077,1610612744,1610612758,117,106,20171013
0011700078,1610612746,1610612747,104,111,20171013
0021700001,1610612739,1610612738,102,99,20171017
0021700002,1610612744,1610612745,121,122,20171017
0021700003,1610612765,1610612766,102,90,20171018
0021700004,1610612754,1610612751,140,131,20171018
0021700005,1610612753,1610612748,116,109,20171018
0021700006,1610612764,1610612755,120,115,20171018
0021700007,1610612738,1610612749,100,108,20171018
0021700008,1610612763,1610612740,103,91,20171018
0021700009,1610612742,1610612737,111,117,20171018
0021700010,1610612762,1610612743,106,96,20171018
0021700011,1610612759,1610612750,107,99,20171018
0021700012,1610612756,1610612757,76,124,20171018
0021700013,1610612758,1610612745,100,105,20171018
0021700014,1610612761,1610612741,117,100,20171019
0021700015,1610612760,1610612752,105,84,20171019
0021700016,1610612747,1610612746,92,108,20171019
0021700017,1610612766,1610612737,109,91,20171020
0021700018,1610612754,1610612757,96,114,20171020
0021700019,1610612755,1610612738,92,102,20171020
0021700020,1610612764,1610612765,115,111,20171020
0021700021,1610612749,1610612739,97,116,20171020
0021700022,1610612751,1610612753,126,121,20171020
0021700023,1610612750,1610612762,100,97,20171020
0021700024,1610612742,1610612758,88,93,20171020
0021700025,1610612740,1610612744,120,128,20171020
0021700026,1610612756,1610612747,130,132,20171020
0021700027,1610612761,1610612755,128,94,20171021
0021700028,1610612739,1610612753,93,114,20171021
0021700029,1610612748,1610612754,112,108,20171021
0021700030,1610612752,1610612765,107,111,20171021
0021700031,1610612741,1610612759,77,87,20171021
0021700032,1610612745,1610612742,107,91,20171021
0021700033,1610612763,1610612744,111,101,20171021
0021700034,1610612749,1610612757,113,110,20171021
0021700035,1610612743,1610612758,96,79,20171021
0021700036,1610612762,1610612760,96,87,20171021
0021700037,1610612746,1610612756,130,88,20171021
0021700038,1610612751,1610612737,116,104,20171022
0021700039,1610612760,1610612750,113,115,20171022
0021700040,1610612747,1610612740,112,119,20171022
0021700041,1610612765,1610612755,86,97,20171023
0021700042,1610612748,1610612737,104,93,20171023
0021700043,1610612745,1610612763,90,98,20171023
0021700044,1610612749,1610612766,103,94,20171023
0021700045,1610612742,1610612744,103,133,20171023
0021700046,1610612759,1610612761,101,97,20171023
0021700047,1610612743,1610612764,104,109,20171023
0021700048,1610612756,1610612758,117,115,20171023
0021700049,1610612739,1610612741,119,112,20171024
0021700050,1610612753,1610612751,125,121,20171024
0021700051,1610612738,1610612752,110,89,20171024
0021700052,1610612750,1610612754,107,130,20171024
0021700053,1610612757,1610612740,103,93,20171024
0021700054,1610612746,1610612762,102,84,20171024
0021700055,1610612766,1610612743,110,93,20171025
0021700056,1610612765,1610612750,122,101,20171025
0021700057,1610612755,1610612745,104,105,20171025
0021700058,1610612751,1610612739,112,107,20171025
0021700059,1610612748,1610612759,100,117,20171025
0021700060,1610612760,1610612754,114,96,20171025
0021700061,1610612742,1610612763,103,94,20171025
0021700062,1610612756,1610612762,97,88,20171025
0021700063,1610612744,1610612761,117,112,20171025
0021700064,1610612747,1610612764,102,99,20171025
0021700065,1610612741,1610612737,91,86,20171026
0021700066,1610612763,1610612742,96,91,20171026
0021700067,1610612749,1610612738,89,96,20171026
0021700068,1610612757,1610612746,103,104,20171026
0021700069,1610612758,1610612740,106,114,20171026
0021700070,1610612766,1610612745,93,109,20171027
0021700071,1610612753,1610612759,114,87,20171027
0021700072,1610612737,1610612743,100,105,20171027
0021700073,1610612752,1610612751,107,86,20171027
0021700074,1610612750,1610612760,119,116,20171027
0021700075,1610612744,1610612764,120,117,20171027
0021700076,1610612747,1610612761,92,101,20171027
0021700077,1610612740,1610612739,123,101,20171028
0021700078,1610612748,1610612738,90,96,20171028
0021700079,1610612741,1610612760,69,101,20171028
0021700080,1610612763,1610612745,103,89,20171028
0021700081,1610612742,1610612755,110,112,20171028
0021700082,1610612762,1610612747,96,81,20171028
0021700083,1610612757,1610612756,114,107,20171028
0021700084,1610612746,1610612765,87,95,20171028
0021700085,1610612737,1610612749,106,117,20171029
0021700086,1610612754,1610612759,97,94,20171029
0021700087,1610612751,1610612743,111,124,20171029
0021700088,1610612766,1610612753,120,113,20171029
