id,home_team_id,away_team_id,home_team_score,away_team_score,date
0021600020,1610612765,1610612753,108,82,20161028
0021600021,1610612760,1610612756,113,110,20161028
0021600022,1610612748,1610612766,91,97,20161028
0021600023,1610612742,1610612745,98,106,20161028
0021600024,1610612762,1610612747,96,89,20161028
0021600025,1610612740,1610612744,114,122,20161028
0021600026,1610612755,1610612737,72,104,20161029
0021600027,1610612766,1610612738,98,104,20161029
0021600028,1610612752,1610612763,111,104,20161029
0021600029,1610612739,1610612753,105,99,20161029
0021600030,1610612741,1610612754,118,101,20161029
0021600031,1610612749,1610612751,110,108,20161029
0021600032,1610612759,1610612740,98,79,20161029
0021600033,1610612743,1610612757,113,115,20161029
0021600034,1610612758,1610612750,106,103,20161029
0021600035,1610612746,1610612762,88,75,20161030
0021600036,1610612756,1610612744,100,106,20161030
0021600037,1610612748,1610612759,99,106,20161030
0021600038,1610612765,1610612749,98,83,20161030
0021600040,1610612760,1610612747,113,96,20161030
0021600039,1610612763,1610612764,112,103,20161030
0021600041,1610612745,1610612742,93,92,20161030
0021600042,1610612761,1610612743,105,102,20161031
0021600043,1610612751,1610612741,88,118,20161031
0021600044,1610612737,1610612758,106,95,20161031
0021600045,1610612746,1610612756,116,98,20161031
0021600047,1610612739,1610612745,128,120,20161101
0021600046,1610612755,1610612753,101,103,20161101
0021600048,1610612754,1610612747,115,108,20161101
0021600049,1610612748,1610612758,108,96,20161101
0021600050,1610612765,1610612752,102,89,20161101
0021600051,1610612740,1610612749,113,117,20161101
0021600052,1610612750,1610612763,116,80,20161101
0021600053,1610612759,1610612762,91,106,20161101
0021600054,1610612757,1610612744,104,127,20161101
0021600055,1610612764,1610612761,103,113,20161102
0021600056,1610612766,1610612755,109,93,20161102
0021600057,1610612751,1610612765,109,101,20161102
0021600058,1610612752,1610612745,99,118,20161102
0021600059,1610612737,1610612747,116,123,20161102
0021600060,1610612763,1610612740,89,83,20161102
0021600061,1610612738,1610612741,107,100,20161102
0021600062,1610612762,1610612742,97,81,20161102
0021600063,1610612756,1610612757,118,115,20161102
0021600064,1610612746,1610612760,83,85,20161102
0021600065,1610612753,1610612758,102,94,20161103
