Draft,Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
jansec,1968,6,1sc,110,11,Angels,N,,William Susa,RHP,,,,,,,,,,,,,JC,Los Angeles Pierce College (Woodland Hills, CA)
jansec,1968,7,1sc,127,10,Angels,N,,Lee Chilton,OF,,,,,,,,,,,,,JC,San Joaquin Delta College (Stockton, CA)
jansec,1968,8,1sc,139,8,Angels,N,,Jim Pope,RHP,,,,,,,,,,,,,JC,Columbia Basin College (Pasco, WA)
janreg,1968,1,1rg,11,11,Angels,N,,Robert Johnson,RHP,,,,,,,,,,,,,JC,Los Angeles Pierce College (Woodland Hills, CA)
janreg,1968,2,1rg,31,11,Angels,Y,,Jim Cesario,3B,,,,,,,,,,,,,,
janreg,1968,3,1rg,49,9,Angels,N,,James Stern,LHP,,,,,,,,,,,,,JC,South Georgia College (Douglas, GA)
janreg,1968,4,1rg,66,9,Angels,N,,David Landress,2B,,,,,,,,,,,,,JC,Los Angeles Pierce College (Woodland Hills, CA)
janreg,1968,5,1rg,82,8,Angels,N,,James Eichmeier,LHP,,,,,,,,,,,,,JC,Arizona Western College (Yuma, AZ)
janreg,1968,6,1rg,96,8,Angels,N,,Richard Leavitt,OF,,,,,,,,,,,,,JC,Cerritos College (Norwalk, CA)
janreg,1968,7,1rg,110,8,Angels,N,,Thomas Tanner,OF,,,,,,,,,,,,,JC,Cerritos College (Norwalk, CA)
janreg,1968,8,1rg,119,5,Angels,N,,Rusty Swisher,RHP,,,,,,,,,,,,,JC,Los Angeles Pierce College (Woodland Hills, CA)
junsec,1968,1,6sc,14,14,Angels,Y,,Larry Hanson,SS,,,,,,,,,,,,,4Yr,University of Oregon (Eugene, OR)
junsec,1968,2,6sc,34,14,Angels,Y,,Michael Schomaker,C,,,,,,,,,,,,,4Yr,Stanford University (Palo Alto, CA)
junsec,1968,3,6sc,54,14,Angels,Y,,Martin Pavlik,LHP,,,,,,,,,,,,,JC,Kennedy-King College (Chicago, IL)
junsec,1968,4,6sc,74,14,Angels,Y,,Jim Suskiewich,LHP,,,,,,,,,,,,,4Yr,Indiana University Bloomington (Bloomington, IN)
junsec,1968,5,6sc,96,13,Angels,N,,Michael Babler,RHP,,,,,,,,,,,,,JC,Chabot College (Hayward, CA)
junsec,1968,6,6sc,114,11,Angels,Y,,Michael Lersch,LHP,,,,,,,,,,,,,JC,Mesa Community College (Mesa, AZ)
junsec,1968,7,6sc,128,10,Angels,N,,Charles Kurkjian,3B,,,,,,,,,,,,,JC,Fresno City College (Fresno, CA)
junsec,1968,8,6sc,133,3,Angels,N,,Craig Schell,RHP,,,,,,,,,,,,,4Yr,University of California, Santa Barbara (Santa Barbara, CA)
jansec,1969,1,1sc,14,14,Angels,N,,Sherwood Hahn,RHP,,,,,,,,,,,,,4Yr,Virginia Polytechnic Institute and State University (Blacksburg, VA)
jansec,1969,2,1sc,38,14,Angels,N,,Frank Riggins,OF,,,,,,,,,,,,,4Yr,University of Kansas (Lawrence, KS)
jansec,1969,3,1sc,62,14,Angels,Y,,Charles Elwis,LHP,,,,,,,,,,,,,4Yr,University of Nebraska-Lincoln (Lincoln, NE)
jansec,1969,4,1sc,86,14,Angels,N,,Ron Diggle,OF,,,,,,,,,,,,,JC,Cerritos College (Norwalk, CA)
jansec,1969,5,1sc,108,12,Angels,N,,Pat Sonneman,3B,,,,,,,,,,,,,JC,Columbia Basin College (Pasco, WA)
jansec,1969,6,1sc,127,9,Angels,N,,David Edson,SS,,,,,,,,,,,,,4Yr,Menlo College (Atherton, CA)
