Draft,Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
jansec,1976,1,1sc,12,12,Dodgers,Y,,Jack Lawson,RHP,,,,,,,,,,,,,JC,Phoenix College (Phoenix, AZ)
jansec,1976,2,1sc,36,12,Dodgers,Y,,Charles Dorgan,LHP,,,,,,,,,,,,,JC,Green River Community College (Auburn, WA)
jansec,1976,3,1sc,59,11,Dodgers,N,,Larry Buckle,RHP,,,,,,,,,,,,,JC,Long Beach City College (Long Beach, CA)
janreg,1976,1,1rg,20,20,Dodgers,N,,Michael Wetklow,OF,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1976,2,1rg,44,20,Dodgers,Y,,Dave Patterson,RHP,-1.2,37,7,0,.143,.286,36,4,1,5.26,1.58,6,JC,Cerritos College (Norwalk, CA)
janreg,1976,3,1rg,68,20,Dodgers,Y,,Paul Bain,RHP,,,,,,,,,,,,,JC,El Camino College (Torrance, CA)
janreg,1976,4,1rg,87,15,Dodgers,N,,Mookie Wilson,OF,22.3,1403,5094,67,.274,.700,,,,,,,JC,Spartanburg Methodist College (Spartanburg, SC)
janreg,1976,5,1rg,103,12,Dodgers,N,,Timothy DeWald,RHP,,,,,,,,,,,,,JC,Cypress College (Cypress, CA)
janreg,1976,6,1rg,119,12,Dodgers,N,,Robert Weis,RHP,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1976,7,1rg,134,11,Dodgers,N,,Mark Garber,RHP,,,,,,,,,,,,,JC,Antelope Valley College (Lancaster, CA)
janreg,1976,8,1rg,146,10,Dodgers,N,,Richard Barnhart,RHP,,,,,,,,,,,,,JC,Green River Community College (Auburn, WA)
janreg,1976,9,1rg,156,8,Dodgers,N,,Rickey Lear,RHP,,,,,,,,,,,,,JC,Valencia Community College (Orlando, FL)
janreg,1976,10,1rg,164,8,Dodgers,N,,Bobby Benda,SS,,,,,,,,,,,,,JC,Palm Beach State College (Lake Worth, FL)
janreg,1976,11,1rg,169,5,Dodgers,N,,Charles Young,RHP,,,,,,,,,,,,,JC,Los Angeles Pierce College (Woodland Hills, CA)
junsec,1976,1,6sc,11,11,Dodgers,N,,Joe Ferri,OF,,,,,,,,,,,,,JC,Pasadena City College (Pasadena, CA)
junsec,1976,2,6sc,34,11,Dodgers,N,,Mike Walters,RHP,0.2,0,0,0,,,46,1,4,3.99,1.33,4,JC,Chaffey College (Rancho Cucamonga, CA)
jansec,1977,1,1sc,16,16,Dodgers,N,,Mark Wychopen,C,,,,,,,,,,,,,JC,San Jacinto College (Pasadena, TX)
janreg,1977,1,1rg,19,19,Dodgers,N,,Timothy Gloyd,SS,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1977,2,1rg,45,19,Dodgers,Y,,Jessie Daniels,2B,,,,,,,,,,,,,JC,Louisburg College (Louisburg, NC)
janreg,1977,3,1rg,71,19,Dodgers,Y,,Rocky Cordova,RHP,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1977,4,1rg,96,18,Dodgers,N,,Daniel Forer,LHP,,,,,,,,,,,,,JC,Iowa Western Community College (Council Bluffs, IA)
janreg,1977,5,1rg,118,15,Dodgers,Y,,Larry Wright,RHP,,,,,,,,,,,,,JC,Georgia Perimeter College (Covington, GA)
janreg,1977,6,1rg,138,15,Dodgers,N,,Ronald Grout,1B,,,,,,,,,,,,,4Yr,Wingate University (Wingate, NC)
janreg,1977,7,1rg,155,13,Dodgers,N,,Randall May,RHP,,,,,,,,,,,,,JC,Yakima Valley Community College (Yakima, WA)
junsec,1977,1,6sc,17,17,Dodgers,Y,,Ron Roenicke,OF,2.9,527,1076,17,.238,.691,,,,,,,4Yr,University of California, Los Angeles (Los Angeles, CA)
junsec,1977,2,6sc,39,14,Dodgers,N,,Rick Kranitz,RHP,,,,,,,,,,,,,JC,Yavapai College (Prescott, AZ)
junsec,1977,3,6sc,50,6,Dodgers,N,,Kevin Williams,OF,,,,,,,,,,,,,JC,Edmonds Community College (Lynnwood, WA)
jansec,1978,1,1sc,8,8,Dodgers,Y,,Rusty McDonald,RHP,,,,,,,,,,,,,JC,DeAnza College (Cupertino, CA)
jansec,1978,2,1sc,34,8,Dodgers,N,,Daniel Sijer,LHP,,,,,,,,,,,,,JC,Shoreline Community College (Shoreline, WA)
jansec,1978,3,1sc,56,6,Dodgers,Y,,Stephen Smith,RHP,,,,,,,,,,,,,JC,Gulf Coast State College (Panama City, FL)
janreg,1978,1,1rg,22,22,Dodgers,Y,,Brian Holton,RHP,2.1,113,20,0,.050,.145,185,20,19,3.62,1.42,3,JC,Louisburg College (Louisburg, NC)
janreg,1978,2,1rg,48,22,Dodgers,Y,,Greg Schultz,SS,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1978,3,1rg,74,22,Dodgers,N,,Brad Patterson,RHP,,,,,,,,,,,,,JC,Umpqua Community College (Roseburg, OR)
janreg,1978,4,1rg,99,21,Dodgers,Y,,Mathew Reeves,LHP,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1978,5,1rg,122,19,Dodgers,N,,Bryan Little,SS,1.8,327,922,3,.245,.639,,,,,,,JC,Louisburg College (Louisburg, NC)
janreg,1978,6,1rg,143,17,Dodgers,N,,Jimmy Boring,RHP,,,,,,,,,,,,,JC,Georgia Perimeter College (Covington, GA)
janreg,1978,7,1rg,162,16,Dodgers,N,,Larry Pittman,1B,,,,,,,,,,,,,JC,Abraham Baldwin Agricultural College (Tifton, GA)
janreg,1978,8,1rg,177,13,Dodgers,N,,Anthony Murdaugh,RHP,,,,,,,,,,,,,4Yr,University of South Carolina (Columbia, SC)
janreg,1978,9,1rg,191,13,Dodgers,N,,Peter Zorich,RHP,,,,,,,,,,,,,JC,Lower Columbia College (Longview, WA)
junsec,1978,1,6sc,7,7,Dodgers,Y,,Dann Bilardello,C,0.7,382,949,18,.204,.561,,,,,,,JC,Cabrillo College (Aptos, CA)
junsec,1978,2,6sc,30,5,Dodgers,N,,Keith Schrimsher,RHP,,,,,,,,,,,,,4Yr,University of South Florida (Tampa, FL)
jansec,1979,1,1sc,16,16,Dodgers,Y,,Rick Misuraca,3B,,,,,,,,,,,,,JC,Rose State College (Midwest City, OK)
jansec,1979,2,1sc,38,13,Dodgers,N,,John Millholland,SS,,,,,,,,,,,,,JC,Louisburg College (Louisburg, NC)
jansec,1979,3,1sc,49,7,Dodgers,N,,Richard Ross,OF,,,,,,,,,,,,,JC,San Jose City College (San Jose, CA)
jansec,1979,4,1sc,55,4,Dodgers,N,,Tommy Blackmon,RHP,,,,,,,,,,,,,JC,Spartanburg Methodist College (Spartanburg, SC)
janreg,1979,1,1rg,23,23,Dodgers,Y,,Robert Silicani,3B,,,,,,,,,,,,,JC,College of San Mateo (San Mateo, CA)
janreg,1979,2,1rg,49,23,Dodgers,N,,Jim Teller,OF,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1979,3,1rg,75,23,Dodgers,N,,Kyle Dunning,RHP,,,,,,,,,,,,,JC,Linn-Benton Community College (Albany, OR)
janreg,1979,4,1rg,101,23,Dodgers,N,,Joseph Siers,RHP,,,,,,,,,,,,,JC,Palm Beach State College (Lake Worth, FL)
janreg,1979,5,1rg,125,21,Dodgers,N,,Phillip Smith,LHP,,,,,,,,,,,,,JC,Georgia Perimeter College (Covington, GA)
janreg,1979,6,1rg,148,20,Dodgers,N,,Eric Stack,RHP,,,,,,,,,,,,,JC,Lane Community College (Eugene, OR)
janreg,1979,7,1rg,169,18,Dodgers,N,,Jim Gleissner,C,,,,,,,,,,,,,JC,Mount San Antonio College (Walnut, CA)
junsec,1979,1,6sc,18,18,Dodgers,Y,,Alfredo Mejia,C,,,,,,,,,,,,,4Yr,Oral Roberts University (Tulsa, OK)
junsec,1979,2,6sc,40,16,Dodgers,N,,Thomas McLaughlin,RHP,,,,,,,,,,,,,4Yr,University of Nebraska-Lincoln (Lincoln, NE)
junsec,1979,3,6sc,53,8,Dodgers,N,,Kyle Dunning,RHP,,,,,,,,,,,,,JC,Linn-Benton Community College (Albany, OR)
junsec,1979,4,6sc,62,3,Dodgers,N,,Bill Worden,C,,,,,,,,,,,,,JC,Mission Hills JC (Mission Hills, CA)
jansec,1980,1,1sc,2,2,Dodgers,Y,,Ricky Wright,LHP,0.7,22,8,0,.125,.375,55,3,3,4.30,1.58,0,4Yr,University of Texas at Austin (Austin, TX)
jansec,1980,2,1sc,28,2,Dodgers,N,,Jack Leonard,3B,,,,,,,,,,,,,JC,Louisburg College (Louisburg, NC)
jansec,1980,3,1sc,50,1,Dodgers,N,,Harry Kazanjian,C,,,,,,,,,,,,,JC,City College of San Francisco (San Francisco, CA)
janreg,1980,1,1rg,10,10,Dodgers,Y,,David Lesch,RHP,,,,,,,,,,,,,JC,Central Arizona College (Coolidge, AZ)
janreg,1980,2,1rg,36,10,Dodgers,Y,,R.J. Reynolds,OF,5.6,786,2270,35,.267,.702,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1980,3,1rg,62,10,Dodgers,N,,Larry See,3B,-0.3,26,43,0,.186,.472,,,,,,,JC,Cerritos College (Norwalk, CA)
janreg,1980,4,1rg,88,10,Dodgers,N,,Robert Allen,SS,,,,,,,,,,,,,4Yr,Clemson University (Clemson, SC)
janreg,1980,5,1rg,113,9,Dodgers,Y,,Hollis Martin,SS,,,,,,,,,,,,,JC,Potomac State College (Keyser, WV)
janreg,1980,6,1rg,138,9,Dodgers,N,,Ralph Bryant,OF,0.9,79,150,8,.253,.819,,,,,,,JC,Abraham Baldwin Agricultural College (Tifton, GA)
janreg,1980,7,1rg,160,7,Dodgers,N,,Mark Wenzel,RHP,,,,,,,,,,,,,JC,Fresno City College (Fresno, CA)
janreg,1980,8,1rg,182,7,Dodgers,N,,Damon Hunt,OF,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1980,9,1rg,200,5,Dodgers,N,,Paul Hagan,OF,,,,,,,,,,,,,JC,South Georgia College (Douglas, GA)
janreg,1980,10,1rg,214,3,Dodgers,N,,David Bailor,OF,,,,,,,,,,,,,JC,Yavapai College (Prescott, AZ)
janreg,1980,11,1rg,226,3,Dodgers,Y,,Brett Wise,RHP,,,,,,,,,,,,,JC,Seminole State College of Florida (Sanford, FL)
janreg,1980,12,1rg,234,2,Dodgers,N,,Richard Lucero,RHP,,,,,,,,,,,,,JC,Phoenix College (Phoenix, AZ)
janreg,1980,13,1rg,241,2,Dodgers,N,,Greg Hudson,RHP,,,,,,,,,,,,,JC,Georgia Perimeter College (Covington, GA)
junsec,1980,1,6sc,9,9,Dodgers,Y,,Robert Allen,SS,,,,,,,,,,,,,4Yr,Clemson University (Clemson, SC)
junsec,1980,2,6sc,34,8,Dodgers,Y,,Rick Felt,LHP,,,,,,,,,,,,,JC,Georgia Perimeter College (Covington, GA)
junsec,1980,3,6sc,54,8,Dodgers,N,,Michael Carringer,RHP,,,,,,,,,,,,,JC,Bacone College (Muskogee, OK)
jansec,1981,1,1sc,21,21,Dodgers,Y,,Shayne Hammond,LHP,,,,,,,,,,,,,JC,Southeastern Illinois College (Harrisburg, IL)
jansec,1981,2,1sc,47,21,Dodgers,N,,Tom DiCeglio,SS,,,,,,,,,,,,,JC,Gulf Coast State College (Panama City, FL)
janreg,1981,1,1rg,21,21,Dodgers,N,,Kevin White,RHP,,,,,,,,,,,,,JC,Cosumnes River College (Sacramento, CA)
janreg,1981,2,1rg,47,21,Dodgers,Y,,Robert Seymour,OF,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1981,3,1rg,73,21,Dodgers,Y,,Frederick Bass,3B,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1981,4,1rg,99,21,Dodgers,Y,,John Sylvia,SS,,,,,,,,,,,,,JC,College of the Sequoias (Visalia, CA)
janreg,1981,5,1rg,125,21,Dodgers,N,,Jack Loop,1B,,,,,,,,,,,,,JC,Pasadena City College (Pasadena, CA)
janreg,1981,6,1rg,151,21,Dodgers,Y,,Eugene Steinbach,C,,,,,,,,,,,,,JC,Georgia Perimeter College (Covington, GA)
janreg,1981,7,1rg,176,21,Dodgers,N,,Brad Harlow,SS,,,,,,,,,,,,,JC,Cosumnes River College (Sacramento, CA)
janreg,1981,8,1rg,197,17,Dodgers,N,,Brett Ragland,RHP,,,,,,,,,,,,,JC,Valencia Community College (Orlando, FL)
janreg,1981,9,1rg,215,14,Dodgers,N,,Jon Van Dort,OF,,,,,,,,,,,,,JC,Chaffey College (Rancho Cucamonga, CA)
janreg,1981,10,1rg,232,13,Dodgers,N,,Larry Riddle,RHP,,,,,,,,,,,,,JC,Alvin Community College (Alvin, TX)
janreg,1981,11,1rg,246,10,Dodgers,N,,Andy Hargrove,RHP,,,,,,,,,,,,,JC,Barstow Community College (Barstow, CA)
janreg,1981,12,1rg,258,9,Dodgers,N,,James Sewell,OF,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1981,13,1rg,270,9,Dodgers,N,,Ronnie Chapman,2B,,,,,,,,,,,,,JC,Louisburg College (Louisburg, NC)
janreg,1981,14,1rg,281,8,Dodgers,N,,James Woods,INF,,,,,,,,,,,,,JC,San Jacinto College (Pasadena, TX)
janreg,1981,15,1rg,290,7,Dodgers,N,,Charles Byers,3B,,,,,,,,,,,,,JC,Chaffey College (Rancho Cucamonga, CA)
janreg,1981,16,1rg,298,6,Dodgers,N,,Benny Distefano,1B,-0.6,240,360,7,.228,.646,,,,,,,JC,Alvin Community College (Alvin, TX)
junsec,1981,1,6sc,22,22,Dodgers,Y,,Ralph Bryant,OF,0.9,79,150,8,.253,.819,,,,,,,JC,Abraham Baldwin Agricultural College (Tifton, GA)
junsec,1981,2,6sc,46,20,Dodgers,Y,,Michael Moore,C,,,,,,,,,,,,,JC,Edmonds Community College (Lynnwood, WA)
junsec,1981,3,6sc,66,16,Dodgers,N,,Ethan McHenry,RHP,,,,,,,,,,,,,JC,Yakima Valley Community College (Yakima, WA)
jansec,1982,1,1sc,11,11,Dodgers,Y,,Henry Gatewood,C,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
jansec,1982,2,1sc,36,11,Dodgers,N,,Derril Lewis,LHP,,,,,,,,,,,,,JC,San Bernardino Valley College (San Bernardino, CA)
jansec,1982,3,1sc,52,8,Dodgers,N,,Bart Elbin,RHP,,,,,,,,,,,,,JC,Louisburg College (Louisburg, NC)
janreg,1982,1,1rg,20,20,Dodgers,Y,,Michael Kolb,RHP,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1982,2,1rg,46,20,Dodgers,N,,Bill Wilson,LHP,,,,,,,,,,,,,JC,San Jacinto College (Pasadena, TX)
janreg,1982,3,1rg,72,20,Dodgers,N,,Mike Kolovitz,RHP,,,,,,,,,,,,,JC,Triton College (River Grove, IL)
janreg,1982,4,1rg,98,20,Dodgers,N,,Joey Aragon,SS,,,,,,,,,,,,,JC,Citrus College (Glendora, CA)
janreg,1982,5,1rg,124,20,Dodgers,N,,Jerald Phillips,C,,,,,,,,,,,,,JC,Taft College (Taft, CA)
janreg,1982,6,1rg,150,20,Dodgers,Y,,Michael Pinckard,RHP,,,,,,,,,,,,,JC,Cerritos College (Norwalk, CA)
janreg,1982,7,1rg,175,19,Dodgers,N,,Bill Geivett,3B,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1982,8,1rg,200,19,Dodgers,N,,Riley Epps,C,,,,,,,,,,,,,JC,McLennan Community College (Waco, TX)
janreg,1982,9,1rg,222,16,Dodgers,N,,Gregory Wallace,C,,,,,,,,,,,,,4Yr,Coastal Bend College (Beeville, TX)
junsec,1982,1,6sc,3,3,Dodgers,Y,,Don Smith,RHP,,,,,,,,,,,,,4Yr,Arizona State University (Tempe, AZ)
junsec,1982,2,6sc,28,3,Dodgers,N,,Matt Rowe,RHP,,,,,,,,,,,,,JC,College of Marin (Kentfield, CA)
junsec,1982,3,6sc,51,3,Dodgers,N,,Jim O'Dell,OF,,,,,,,,,,,,,4Yr,Lewis-Clark State College (Lewiston, ID)
jansec,1983,1,1sc,23,23,Dodgers,N,,Dennis Woods,OF,,,,,,,,,,,,,JC,Spartanburg Methodist College (Spartanburg, SC)
jansec,1983,2,1sc,46,20,Dodgers,N,,Rodney McCray,OF,0.0,67,14,0,.214,.481,,,,,,,JC,West Los Angeles College (Culver City, CA)
janreg,1983,1,1rg,17,17,Dodgers,Y,,Derek Lee,RHP,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1983,2,1rg,43,17,Dodgers,Y,,Todd Cobbs,RHP,,,,,,,,,,,,,JC,Vincennes University (Vincennes, IN)
janreg,1983,3,1rg,69,17,Dodgers,N,,Pat Sullivan,C,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1983,4,1rg,95,17,Dodgers,N,,Mark Tindall,LHP,,,,,,,,,,,,,JC,Sinclair Community College (Dayton, OH)
janreg,1983,5,1rg,121,17,Dodgers,N,,Victor Marin,RHP,,,,,,,,,,,,,JC,Chaffey College (Rancho Cucamonga, CA)
janreg,1983,6,1rg,147,17,Dodgers,Y,,Randy Hamrick,LHP,,,,,,,,,,,,,JC,Spartanburg Methodist College (Spartanburg, SC)
janreg,1983,7,1rg,171,15,Dodgers,N,,John Partridge,RHP,,,,,,,,,,,,,JC,Alvin Community College (Alvin, TX)
janreg,1983,8,1rg,194,14,Dodgers,N,,Rob Leary,RHP,,,,,,,,,,,,,JC,College of San Mateo (San Mateo, CA)
janreg,1983,9,1rg,216,13,Dodgers,N,,Kenneth Boone,RHP,,,,,,,,,,,,,JC,Citrus College (Glendora, CA)
janreg,1983,10,1rg,238,13,Dodgers,N,,Ted Parker,OF,,,,,,,,,,,,,JC,Spartanburg Methodist College (Spartanburg, SC)
janreg,1983,11,1rg,259,13,Dodgers,N,,Scott Campbell,OF,,,,,,,,,,,,,JC,Citrus College (Glendora, CA)
janreg,1983,12,1rg,275,9,Dodgers,Y,,Mark Reynolds,OF,,,,,,,,,,,,,JC,Austin Community College (Austin, TX)
janreg,1983,13,1rg,291,9,Dodgers,Y,,Wayne Kirby,OF,1.8,516,1198,14,.252,.654,,,,,,,,
janreg,1983,14,1rg,303,8,Dodgers,Y,,Karl Ciamaichelo,SS,,,,,,,,,,,,,,
janreg,1983,15,1rg,312,5,Dodgers,N,,Gerald Robinson,C,,,,,,,,,,,,,,
junsec,1983,1,6sc,24,24,Dodgers,N,,Jon Leake,3B,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
junsec,1983,2,6sc,47,21,Dodgers,N,,Terence Guzman,LHP,,,,,,,,,,,,,4Yr,Ferrum College (Ferrum, VA)
junsec,1983,3,6sc,66,17,Dodgers,Y,,Tim Criswell,RHP,,,,,,,,,,,,,JC,Georgia Perimeter College (Covington, GA)
jansec,1984,1,1sc,4,4,Dodgers,Y,,Shawn Hillegas,RHP,1.6,24,29,0,.069,.225,181,24,38,4.61,1.47,10,JC,Middle Georgia State University (Macon, GA)
jansec,1984,2,1sc,30,4,Dodgers,N,,Vince Shinholster,SS,,,,,,,,,,,,,JC,Santa Ana College (Santa Ana, CA)
janreg,1984,1,1rg,24,24,Dodgers,N,,John Alva,INF,,,,,,,,,,,,,JC,Pima Community College (Tucson, AZ)
janreg,1984,2,1rg,50,24,Dodgers,N,,Keith Nicholson,RHP,,,,,,,,,,,,,JC,Mission College (Santa Clara, CA)
janreg,1984,3,1rg,76,24,Dodgers,N,,Eddie Citronelli,C,,,,,,,,,,,,,JC,Ranger College (Ranger, TX)
janreg,1984,4,1rg,102,24,Dodgers,Y,,Jovon Edwards,OF,,,,,,,,,,,,,4Yr,Alfred University (Alfred, NY)
janreg,1984,5,1rg,128,24,Dodgers,N,,Kevin Phillips,RHP,,,,,,,,,,,,,JC,Panola College (Carthage, TX)
janreg,1984,6,1rg,154,24,Dodgers,N,,Tim McCoy,LHP,,,,,,,,,,,,,JC,Mount San Antonio College (Walnut, CA)
janreg,1984,7,1rg,180,24,Dodgers,N,,Ted Brooks,OF,,,,,,,,,,,,,JC,Victor Valley College (Victorville, CA)
janreg,1984,8,1rg,206,24,Dodgers,N,,Brent Bolin,RHP,,,,,,,,,,,,,JC,Central Arizona College (Coolidge, AZ)
janreg,1984,9,1rg,231,23,Dodgers,N,,Keith Sheldon,RHP,,,,,,,,,,,,,JC,Georgia Perimeter College (Covington, GA)
janreg,1984,10,1rg,254,21,Dodgers,Y,,Daniel Robles,OF,,,,,,,,,,,,,JC,Mount San Antonio College (Walnut, CA)
janreg,1984,11,1rg,271,16,Dodgers,N,,Kelly Wilson,OF,,,,,,,,,,,,,JC,Paris Junior College (Paris, TX)
junsec,1984,1,6sc,2,2,Dodgers,Y,,Greg Mayberry,RHP,,,,,,,,,,,,,4Yr,Ferrum College (Ferrum, VA)
junsec,1984,2,6sc,27,2,Dodgers,Y,,Brian Kopetsky,INF,,,,,,,,,,,,,JC,Community College of Baltimore County, Dundalk Campus (Dundalk, MD)
junsec,1984,3,6sc,50,2,Dodgers,Y,,Dave Satnat,LHP,,,,,,,,,,,,,JC,Modesto Junior College (Modesto, CA)
junsec,1984,4,6sc,69,2,Dodgers,N,,Scott Clemo,3B,,,,,,,,,,,,,JC,Gulf Coast State College (Panama City, FL)
jansec,1985,1,1sc,13,13,Dodgers,Y,,Eric Tutt,1B,,,,,,,,,,,,,JC,Middle Georgia State University (Macon, GA)
jansec,1985,2,1sc,39,13,Dodgers,Y,,John Wetteland,RHP,19.2,273,42,1,.167,.452,618,48,45,2.93,1.13,330,JC,College of San Mateo (San Mateo, CA)
jansec,1985,3,1sc,59,7,Dodgers,N,,Adrian Adkins,C,,,,,,,,,,,,,JC,Middle Georgia State University (Macon, GA)
janreg,1985,1,1rg,9,9,Dodgers,Y,,Bradley Zeinert,LHP,,,,,,,,,,,,,,
janreg,1985,2,1rg,35,9,Dodgers,Y,,Darren Farley,3B,,,,,,,,,,,,,JC,San Jacinto College (Pasadena, TX)
janreg,1985,3,1rg,61,9,Dodgers,N,,Greg Briley,SS,0.3,598,1518,29,.253,.681,,,,,,,JC,Louisburg College (Louisburg, NC)
janreg,1985,4,1rg,87,9,Dodgers,N,,Mike Kitz,LHP,,,,,,,,,,,,,JC,College of San Mateo (San Mateo, CA)
janreg,1985,5,1rg,113,9,Dodgers,N,,Paul Kuzniar,RHP,,,,,,,,,,,,,JC,Alvin Community College (Alvin, TX)
janreg,1985,6,1rg,139,9,Dodgers,N,,Lester Logan,C,,,,,,,,,,,,,4Yr,University of Nebraska-Lincoln (Lincoln, NE)
janreg,1985,7,1rg,163,8,Dodgers,N,,Gregory Martin,2B,,,,,,,,,,,,,JC,Middle Georgia State University (Macon, GA)
janreg,1985,8,1rg,187,8,Dodgers,N,,Mike Fowler,3B,,,,,,,,,,,,,JC,Spartanburg Methodist College (Spartanburg, SC)
janreg,1985,9,1rg,210,7,Dodgers,N,,Bruce Powers,OF,,,,,,,,,,,,,JC,Skyline College (San Bruno, CA)
janreg,1985,10,1rg,233,7,Dodgers,N,,Chris Graves,RHP,,,,,,,,,,,,,JC,Middle Georgia State University (Macon, GA)
janreg,1985,11,1rg,253,6,Dodgers,Y,,Kevin Nelson,RHP,,,,,,,,,,,,,JC,Yuba Community College (Marysville, CA)
janreg,1985,12,1rg,270,5,Dodgers,N,,Derek Keathley,RHP,,,,,,,,,,,,,JC,Yuba Community College (Marysville, CA)
janreg,1985,13,1rg,284,5,Dodgers,N,,John McEntee,LHP,,,,,,,,,,,,,JC,College of Marin (Kentfield, CA)
junsec,1985,1,6sc,24,24,Dodgers,Unk,,Doug Cox,LHP,,,,,,,,,,,,,JC,Georgia Perimeter College (Covington, GA)
junsec,1985,2,6sc,49,23,Dodgers,Y,,Marty Newton,C,,,,,,,,,,,,,JC,San Bernardino Valley College (San Bernardino, CA)
junsec,1985,3,6sc,71,20,Dodgers,N,,John McEntee,LHP,,,,,,,,,,,,,JC,College of Marin (Kentfield, CA)
jansec,1986,1,1sc,12,12,Dodgers,Y,,Jim Kating,C,,,,,,,,,,,,,JC,Triton College (River Grove, IL)
jansec,1986,2,1sc,36,10,Dodgers,N,,Blake Butterfield,RHP,,,,,,,,,,,,,JC,Mount San Antonio College (Walnut, CA)
jansec,1986,3,1sc,48,2,Dodgers,N,,Pedro Borbon,LHP,0.7,226,7,0,.143,.286,368,16,16,4.68,1.45,6,JC,Ranger College (Ranger, TX)
janreg,1986,1,1rg,20,20,Dodgers,Y,,Tim Anderson,INF,,,,,,,,,,,,,JC,Sacramento City College (Sacramento, CA)
janreg,1986,2,1rg,46,20,Dodgers,N,,Brian Flanagan,OF,,,,,,,,,,,,,JC,Citrus College (Glendora, CA)
janreg,1986,3,1rg,72,20,Dodgers,Y,,Lee Langley,OF,,,,,,,,,,,,,JC,Linn-Benton Community College (Albany, OR)
janreg,1986,4,1rg,98,20,Dodgers,Y,,Adam Brown,C,,,,,,,,,,,,,JC,Georgia Perimeter College (Covington, GA)
janreg,1986,5,1rg,124,20,Dodgers,N,,Stephen Carmarda,RHP,,,,,,,,,,,,,JC,San Jacinto College (Pasadena, TX)
janreg,1986,6,1rg,150,20,Dodgers,N,,Darren Lewis,OF,10.5,1354,4081,27,.250,.645,,,,,,,JC,Chabot College (Hayward, CA)
janreg,1986,7,1rg,176,20,Dodgers,N,,Mike Bundesen,LHP,,,,,,,,,,,,,JC,Mott Community College (Flint, MI)
janreg,1986,8,1rg,201,19,Dodgers,N,,Keith Hayes,C,,,,,,,,,,,,,4Yr,University of Nebraska-Lincoln (Lincoln, NE)
janreg,1986,9,1rg,226,19,Dodgers,N,,Brad Freking,LHP,,,,,,,,,,,,,JC,William Rainey Harper College (Palatine, IL)
janreg,1986,10,1rg,251,19,Dodgers,N,,Ranfred Johnson,RHP,,,,,,,,,,,,,JC,Los Angeles Harbor College (Wilmington, CA)
janreg,1986,11,1rg,271,14,Dodgers,N,,Mike Bledsoe,LHP,,,,,,,,,,,,,JC,College of the Sequoias (Visalia, CA)
janreg,1986,12,1rg,289,12,Dodgers,N,,Elliot Quinones,OF,,,,,,,,,,,,,JC,Gulf Coast State College (Panama City, FL)
janreg,1986,13,1rg,304,10,Dodgers,N,,Mike Ripplinger,OF,,,,,,,,,,,,,JC,Taft College (Taft, CA)
janreg,1986,14,1rg,317,8,Dodgers,N,,Tim Anderson,OF,,,,,,,,,,,,,JC,Georgia Perimeter College (Covington, GA)
janreg,1986,15,1rg,326,6,Dodgers,N,,David Downey,OF,,,,,,,,,,,,,JC,Muscatine Community College (Muscatine, IA)
janreg,1986,16,1rg,335,6,Dodgers,N,,David Ray,C,,,,,,,,,,,,,JC,Georgia Perimeter College (Covington, GA)
junsec,1986,1,6sc,11,11,Dodgers,N,,Carlos Carrasco,RHP,,,,,,,,,,,,,JC,Gavilan College (Gilroy, CA)
junsec,1986,2,6sc,37,11,Dodgers,N,,Wade Taylor,RHP,-0.7,0,0,0,,,23,7,12,6.27,1.69,0,JC,Coastal Alabama Community College-Brewton (Brewton, AL)
junsec,1986,3,6sc,58,9,Dodgers,Y,,Mike Ferradas,C,,,,,,,,,,,,,4Yr,Miami Dade College, Kendall Campus (Miami, FL)
junsec,1986,4,6sc,73,6,Dodgers,N,,Adrian Adkins,C,,,,,,,,,,,,,JC,Middle Georgia State University (Macon, GA)
junsec,1986,5,6sc,86,6,Dodgers,N,,Mike Bundesen,LHP,,,,,,,,,,,,,JC,Mott Community College (Flint, MI)
