player_id,game_id,team_id,fga,fgm,3pa,3pm,fta,ftm,points,off_rebounds,def_rebounds,assists,turnovers,blocks,steals,fouls
201163,0011700001,1610612743,8,3,1,4,0,0,7,1,2,3,0,0,1,3
200794,0011700001,1610612743,11,7,4,6,4,4,22,1,10,2,5,0,1,3
203999,0011700001,1610612743,5,2,1,1,7,10,12,1,5,2,3,0,0,3
203914,0011700001,1610612743,9,3,0,2,2,3,8,1,1,3,2,0,1,1
1627750,0011700001,1610612743,7,3,3,3,0,0,9,1,2,1,1,0,1,3
1626144,0011700001,1610612743,10,6,3,4,4,6,19,0,2,4,4,0,0,3
203486,0011700001,1610612743,8,4,0,0,4,7,12,3,7,0,3,0,1,3
203115,0011700001,1610612743,8,3,0,2,0,0,6,0,6,5,0,0,1,1
1626168,0011700001,1610612743,6,2,0,2,2,4,6,1,3,3,0,0,0,2
1627823,0011700001,1610612743,6,3,1,3,0,0,7,0,0,0,0,0,0,2
1628470,0011700001,1610612743,2,0,0,1,0,0,0,0,0,0,0,0,0,0
1627736,0011700001,1610612743,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1628399,0011700001,1610612743,1,0,0,0,0,0,0,0,1,0,0,0,0,0
201589,0011700001,1610612743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2735,0011700001,1610612743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202702,0011700001,1610612743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1628420,0011700001,1610612743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2749,0011700001,1610612743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201142,0011700001,1610612744,12,4,0,5,2,2,10,1,3,1,1,0,1,2
203110,0011700001,1610612744,9,2,0,5,0,1,4,1,7,4,1,0,1,3
2585,0011700001,1610612744,4,2,0,0,2,2,6,5,1,1,3,0,2,3
202691,0011700001,1610612744,9,5,0,3,0,0,10,0,1,2,0,0,2,2
201939,0011700001,1610612744,11,3,1,6,4,4,11,0,4,2,1,0,1,0
2738,0011700001,1610612744,7,1,0,1,3,4,5,1,3,1,0,1,1,1
201580,0011700001,1610612744,0,0,0,0,1,2,1,1,4,1,1,1,0,1
1627775,0011700001,1610612744,8,3,0,2,0,0,6,1,2,0,3,0,0,1
2733,0011700001,1610612744,5,3,0,0,0,0,6,0,0,0,0,0,0,0
2561,0011700001,1610612744,4,3,0,0,0,0,6,1,1,1,0,0,0,3
201156,0011700001,1610612744,7,2,2,5,0,1,6,0,0,0,1,0,1,2
1627745,0011700001,1610612744,1,1,0,0,4,4,6,2,5,0,0,0,0,3
1626172,0011700001,1610612744,4,2,0,1,0,0,4,1,1,0,1,0,1,3
1627771,0011700001,1610612744,4,0,0,3,4,4,4,1,0,0,1,0,0,0
1628395,0011700001,1610612744,3,2,0,0,0,0,4,1,0,2,0,1,0,0
1627777,0011700001,1610612744,2,1,1,2,0,0,3,0,3,2,1,1,1,2
1628499,0011700001,1610612744,4,4,0,0,0,0,8,1,1,0,0,0,2,2
1628174,0011700001,1610612744,1,1,0,0,0,0,2,0,0,0,0,0,0,0
1628449,0011700001,1610612744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201956,0011700001,1610612744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203952,0011700002,1610612750,13,3,0,2,3,5,9,2,2,1,3,0,3,4
201959,0011700002,1610612750,11,6,2,2,4,6,18,2,6,2,1,1,0,1
1626157,0011700002,1610612750,9,4,3,3,4,4,15,0,6,3,0,2,0,0
202710,0011700002,1610612750,6,3,0,0,4,5,10,1,2,2,1,0,0,0
201952,0011700002,1610612750,13,5,1,4,0,0,11,0,3,9,3,0,2,0
203476,0011700002,1610612750,12,7,0,0,0,0,14,4,8,0,2,0,0,2
