player_id,game_id,team_id,fga,fgm,3pa,3pm,fta,ftm,points,off_rebounds,def_rebounds,assists,turnovers,blocks,steals,fouls
203142,0011600002,1610612740,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1627873,0011600002,1610612740,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1626188,0011600002,1610612740,1,1,0,0,0,0,2,0,0,0,0,0,0,0
201936,0011600002,1610612740,,,,,,,,,,,,,,
202087,0011600002,1610612740,,,,,,,,,,,,,,
201950,0011600002,1610612740,,,,,,,,,,,,,,
202347,0011600002,1610612740,,,,,,,,,,,,,,
203135,0011600002,1610612740,,,,,,,,,,,,,,
1962937426,0011600003,12329,18,9,0,5,6,9,24,5,7,1,3,0,1,1
1962937428,0011600003,12329,8,3,0,2,0,0,6,0,1,0,1,0,0,2
1962937429,0011600003,12329,6,3,0,0,0,0,6,0,9,0,1,2,0,5
1962937431,0011600003,12329,26,11,3,8,8,8,33,0,8,8,3,0,1,0
1962937423,0011600003,12329,14,6,1,5,1,2,14,0,5,7,7,0,2,3
1962937419,0011600003,12329,3,1,0,1,0,0,2,0,2,2,1,0,0,3
1962937424,0011600003,12329,5,2,0,0,0,0,4,0,2,0,1,0,0,1
1962937420,0011600003,12329,1,0,0,0,1,2,1,0,0,0,1,0,0,3
1962937433,0011600003,12329,2,0,0,2,2,3,2,0,1,0,2,0,0,0
1962937430,0011600003,12329,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1962937422,0011600003,12329,2,1,0,0,0,0,2,1,0,0,0,0,0,1
1962937421,0011600003,12329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962937427,0011600003,12329,,,,,,,,,,,,,,
1962937432,0011600003,12329,,,,,,,,,,,,,,
1962937425,0011600003,12329,,,,,,,,,,,,,,
2772,0011600003,1610612745,8,3,2,7,0,0,8,1,0,3,0,0,1,3
201583,0011600003,1610612745,15,5,1,5,1,2,12,3,2,2,1,0,1,2
203991,0011600003,1610612745,8,5,0,0,0,6,10,3,8,1,0,2,2,1
201935,0011600003,1610612745,11,5,2,6,4,4,16,0,3,10,1,1,3,1
201976,0011600003,1610612745,4,1,1,3,2,2,5,0,6,5,0,1,1,0
2403,0011600003,1610612745,5,4,0,0,4,4,12,1,3,2,0,0,0,1
201569,0011600003,1610612745,4,3,2,3,0,0,8,0,1,2,0,1,0,1
201147,0011600003,1610612745,5,4,2,3,0,0,10,0,3,0,0,0,1,2
203909,0011600003,1610612745,6,5,0,1,2,2,12,0,4,0,2,1,1,3
203143,0011600003,1610612745,3,1,1,2,0,0,3,1,0,2,1,0,0,0
1626149,0011600003,1610612745,2,1,0,0,1,2,3,1,2,1,0,1,0,0
1626155,0011600003,1610612745,6,3,1,3,2,2,9,1,2,2,1,0,0,1
203898,0011600003,1610612745,5,3,0,2,0,0,6,0,1,2,2,0,0,0
1627778,0011600003,1610612745,0,0,0,0,0,0,0,1,1,0,0,0,0,3
1627787,0011600003,1610612745,7,4,2,5,0,0,10,2,1,0,0,0,0,0
201628,0011600003,1610612745,3,0,0,2,1,2,1,0,0,1,0,0,0,0
1627780,0011600003,1610612745,1,1,0,0,1,2,3,0,1,0,1,0,2,1
1627819,0011600003,1610612745,1,1,0,0,1,2,3,0,0,1,0,0,0,1
203798,0011600003,1610612745,,,,,,,,,,,,,,
203460,0011600010,1610612760,3,2,0,0,2,2,6,0,2,1,1,0,2,4
1627734,0011600010,1610612760,5,3,1,2,0,0,7,3,2,4,1,0,1,6
203500,0011600010,1610612760,5,3,0,0,1,2,7,0,1,0,0,0,0,0
203506,0011600010,1610612760,24,14,1,7,5,6,34,0,2,5,4,0,2,4
201566,0011600010,1610612760,14,7,2,5,2,5,18,0,3,4,1,0,3,3
203518,0011600010,1610612760,5,4,4,5,0,0,12,1,0,0,0,0,0,3
202683,0011600010,1610612760,20,12,0,1,5,6,29,6,4,0,1,0,0,2
101141,0011600010,1610612760,8,3,2,4,3,4,11,1,3,3,0,0,1,3
202713,0011600010,1610612760,3,1,0,2,3,4,5,0,3,2,2,1,1,3
101179,0011600010,1610612760,5,0,0,2,0,2,0,0,2,2,2,1,3,2
203962,0011600010,1610612760,0,0,0,0,0,0,0,1,1,0,1,0,0,0
201627,0011600010,1610612760,3,3,1,1,1,1,8,0,1,1,2,0,0,4
1627818,0011600010,1610612760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1627936,0011600010,1610612760,,,,,,,,,,,,,,
203902,0011600010,1610612760,,,,,,,,,,,,,,
2555,0011600010,1610612760,,,,,,,,,,,,,,
203530,0011600010,1610612760,,,,,,,,,,,,,,
203956,0011600010,1610612760,,,,,,,,,,,,,,
1626166,0011600010,1610612760,,,,,,,,,,,,,,
202874,0011600010,1610612760,,,,,,,,,,,,,,
1962937447,0011600010,12315,8,6,5,6,5,6,22,0,4,9,4,0,0,5
1962937448,0011600010,12315,10,6,4,6,0,0,16,0,1,1,2,0,0,3
1962937444,0011600010,12315,1,1,0,0,4,4,6,0,1,2,2,0,2,2
1962937439,0011600010,12315,8,4,3,5,0,0,11,1,2,6,4,0,2,2
1962937445,0011600010,12315,14,9,3,5,3,3,24,2,2,1,1,0,1,1
1962937446,0011600010,12315,8,7,1,1,4,7,19,4,1,1,2,1,2,4
1962937441,0011600010,12315,5,1,0,3,1,2,3,1,4,4,2,0,0,2
1962937442,0011600010,12315,3,1,1,2,3,4,6,1,2,2,0,0,0,1
1962937437,0011600010,12315,8,5,1,3,1,4,12,0,6,1,2,1,0,5
1962937450,0011600010,12315,4,1,1,2,2,4,5,1,0,1,2,1,0,2
1962937438,0011600010,12315,1,0,0,0,0,0,0,0,0,1,0,0,1,1
1962937449,0011600010,12315,1,0,0,1,0,0,0,1,0,0,1,2,0,1
1962937443,0011600010,12315,3,1,0,1,0,0,2,0,0,3,1,0,1,1
1962937440,0011600010,12315,7,5,1,2,5,6,16,0,6,0,1,0,0,1
203507,0011600005,1610612749,8,4,0,1,4,6,12,1,0,2,2,0,1,4
203953,0011600005,1610612749,15,6,1,2,0,0,13,4,5,1,1,0,1,2
203101,0011600005,1610612749,3,1,0,0,0,0,2,1,2,1,1,0,1,3
1626173,0011600005,1610612749,7,1,1,5,1,1,4,0,0,1,1,0,1,1
1627763,0011600005,1610612749,6,1,1,4,2,2,5,0,3,1,1,0,1,1
203487,0011600005,1610612749,6,1,0,2,8,12,10,3,8,6,4,1,0,3
202328,0011600005,1610612749,13,7,0,0,1,3,15,4,5,1,1,3,2,0
203521,0011600005,1610612749,6,3,3,4,2,2,11,0,2,6,2,0,1,2
201563,0011600005,1610612749,7,2,2,4,5,6,11,0,3,0,2,0,2,1
203141,0011600005,1610612749,7,4,2,3,0,1,10,2,1,1,0,1,1,4
203089,0011600005,1610612749,1,0,0,0,0,0,0,0,1,0,1,1,1,1
1626266,0011600005,1610612749,1,0,0,0,0,0,0,0,0,0,0,0,0,1
200779,0011600005,1610612749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1626294,0011600005,1610612749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202710,0011600005,1610612741,5,2,1,1,8,9,13,1,2,1,0,1,1,2
201959,0011600005,1610612741,9,5,0,0,1,3,11,5,7,1,4,1,0,2
201577,0011600005,1610612741,8,4,0,0,0,0,8,1,2,1,0,3,1,3
2548,0011600005,1610612741,3,2,2,2,0,2,6,0,2,1,2,0,2,3
200765,0011600005,1610612741,2,1,0,0,0,0,2,1,5,7,5,0,0,2
